T_level,user_id,input_path,output_path,status,error,input_words,output_words,model
T1,user_02d03e8a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_02d03e8a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_02d03e8a.txt,skipped_existing,,94,170,gpt-4o-mini
T1,user_02d8a1f8,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_02d8a1f8.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_02d8a1f8.txt,skipped_existing,,104,253,gpt-4o-mini
T1,user_02fecea2,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_02fecea2.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_02fecea2.txt,skipped_existing,,69,249,gpt-4o-mini
T1,user_03410579,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_03410579.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_03410579.txt,skipped_existing,,87,214,gpt-4o-mini
T1,user_043ea160,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_043ea160.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_043ea160.txt,skipped_existing,,302,191,gpt-4o-mini
T1,user_04d29f9c,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_04d29f9c.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_04d29f9c.txt,skipped_existing,,183,225,gpt-4o-mini
T1,user_04d8419e,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_04d8419e.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_04d8419e.txt,skipped_existing,,199,261,gpt-4o-mini
T1,user_0521a7ac,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_0521a7ac.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_0521a7ac.txt,ok,,79,233,gpt-4o-mini
T1,user_058c1800,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_058c1800.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_058c1800.txt,ok,,83,220,gpt-4o-mini
T1,user_0697c470,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_0697c470.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_0697c470.txt,ok,,117,237,gpt-4o-mini
T1,user_07cb458d,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_07cb458d.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_07cb458d.txt,ok,,251,255,gpt-4o-mini
T1,user_07db2c6a,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/truncated_queries/T1/user_07db2c6a.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/summaries/T1/user_07db2c6a.txt,ok,,58,167,gpt-4o-mini
