user_id,input_path,output_path,status,error,original_input_words,sent_input_words,was_truncated,output_words,model
user_17054ec7,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_17054ec7.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_17054ec7.txt,skipped_existing,,6463,6463,0,310,gpt-4o-mini
user_17355c30,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_17355c30.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_17355c30.txt,skipped_existing,,15384,15384,0,335,gpt-4o-mini
user_1736acbe,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_1736acbe.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_1736acbe.txt,skipped_existing,,16252,16252,0,335,gpt-4o-mini
user_17607ebc,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_17607ebc.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_17607ebc.txt,skipped_existing,,24447,24447,0,425,gpt-4o-mini
user_18227c28,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_18227c28.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_18227c28.txt,skipped_existing,,12329,12329,0,372,gpt-4o-mini
user_183b3783,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_183b3783.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_183b3783.txt,skipped_existing,,13675,13675,0,322,gpt-4o-mini
user_18522854,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_18522854.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_18522854.txt,skipped_existing,,39376,25000,1,350,gpt-4o-mini
user_18892460,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_18892460.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_18892460.txt,skipped_existing,,7774,7774,0,345,gpt-4o-mini
user_18c333c6,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_18c333c6.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_18c333c6.txt,skipped_existing,,10176,10176,0,347,gpt-4o-mini
user_192a215d,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_192a215d.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_192a215d.txt,skipped_existing,,8887,8887,0,302,gpt-4o-mini
user_1936a7c3,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_profiles/user_1936a7c3.txt,/Users/reflowgang/Downloads/deanonymization_project/data/esrc/pool_en/candidate_summaries/user_1936a7c3.txt,skipped_existing,,3685,3685,0,279,gpt-4o-mini
